# time thermal kinetic hydro gravitational total
1.461406454903160714e-04 9.949718326444502159e-01 5.043176456863890378e-03 1.000015009101314023e+00 -2.958373712170535756e-08 1.000014979517577007e+00
2.587492710372923076e-03 8.520123953877530854e-01 1.480366250921656412e-01 1.000049020479919060e+00 -3.511859097358117270e-05 1.000013901888945567e+00
5.169656597477755543e-03 8.160831334142948368e-01 1.841101199933756205e-01 1.000193253407670291e+00 -1.675722968957716946e-04 1.000025681110774611e+00
7.570998918004018079e-03 8.051668309993097461e-01 1.952646281836004638e-01 1.000431459182910210e+00 -3.814125380106866471e-04 1.000050046644899604e+00
1.011919718192345365e-02 7.988315267088970106e-01 2.019611010883551327e-01 1.000792627797252088e+00 -7.042628834209633225e-04 1.000088364913831018e+00
1.266783889352743331e-02 7.945669971868415393e-01 2.066982958586333352e-01 1.001265293045474847e+00 -1.126844173453740629e-03 1.000138448872021080e+00
1.510602205490891269e-02 7.915117982669692687e-01 2.103102780778506042e-01 1.001822076344819790e+00 -1.625321157483523935e-03 1.000196755187336306e+00
1.765333095918807105e-02 7.889942598016799202e-01 2.135193140526572830e-01 1.002513573854337148e+00 -2.245484701487825575e-03 1.000268089152849260e+00
2.029358171143955808e-02 7.868914243219471416e-01 2.164579997169637504e-01 1.003349424038911142e+00 -2.996522996751973221e-03 1.000352901042159237e+00
2.271040815867722551e-02 7.853030407693439852e-01 2.189185028299230618e-01 1.004221543599267186e+00 -3.781547018047373178e-03 1.000439996581219848e+00
2.518806770475591136e-02 7.839369647207595770e-01 2.212855649947759185e-01 1.005222529715535495e+00 -4.684039663208342495e-03 1.000538490052327090e+00
2.772287716687539538e-02 7.827639939297503791e-01 2.235954588892790917e-01 1.006359452819029610e+00 -5.710722421737823157e-03 1.000648730397291741e+00
3.031174368875116237e-02 7.817627770651585095e-01 2.258766078721007875e-01 1.007639384937259130e+00 -6.868301450304779843e-03 1.000771083486954316e+00
3.261919331804392919e-02 7.810145668862703561e-01 2.278676229274192444e-01 1.008882189813689489e+00 -7.993836856763841120e-03 1.000888352956925686e+00
3.530155392439070228e-02 7.802944281120349768e-01 2.301544366925484253e-01 1.010448864804583513e+00 -9.414528145939782960e-03 1.001034336658643831e+00
3.768636447107551191e-02 7.797748827297440455e-01 2.321779951039076306e-01 1.011952877833651510e+00 -1.078009945922896867e-02 1.001172778374422645e+00
4.010509811790977097e-02 7.793526685585449032e-01 2.342335337217445468e-01 1.013586202280289505e+00 -1.226473574898684013e-02 1.001321466531302606e+00
4.255662716077637797e-02 7.790233813199328727e-01 2.363303301242382359e-01 1.015353711444170859e+00 -1.387305612626407031e-02 1.001480655317906754e+00
4.503992785036837337e-02 7.787834750879774059e-01 2.384769056324585190e-01 1.017260380720435897e+00 -1.560978471160185191e-02 1.001650596008833993e+00
4.755406721630837247e-02 7.786301294243145321e-01 2.406811746531805074e-01 1.019311304077495040e+00 -1.747975768722868223e-02 1.001831546390266281e+00
5.009817740567006766e-02 7.785610747142047705e-01 2.429506224085135058e-01 1.021511697122718276e+00 -1.948792531793423766e-02 1.002023771804783969e+00
5.267148123309438323e-02 7.785745339293668188e-01 2.452924082866989597e-01 1.023866942216065778e+00 -2.163938781486917859e-02 1.002227554401196707e+00
5.527328633230004645e-02 7.786691694073650805e-01 2.477134421399064257e-01 1.026382611547271395e+00 -2.393942340007990804e-02 1.002443188147191577e+00
5.752561006351059741e-02 7.788141678226958575e-01 2.498567821139450196e-01 1.028670949936640877e+00 -2.603327167821656990e-02 1.002637678258424314e+00
6.017871644844210305e-02 7.790573738762213152e-01 2.524426383583663336e-01 1.031500012234587871e+00 -2.862388417380635694e-02 1.002876128060781413e+00
6.285867195256422679e-02 7.793800284867123951e-01 2.551265326703515135e-01 1.034506561157063853e+00 -3.137923372114131970e-02 1.003127327435922478e+00
6.517678404553335636e-02 7.797198043469183437e-01 2.575099341573832690e-01 1.037229738504301668e+00 -3.387669338408232089e-02 1.003353045120219278e+00
6.751399811364049153e-02 7.801180336790703995e-01 2.599742140693528381e-01 1.040092247748423127e+00 -3.650364647102508769e-02 1.003588601277398018e+00
7.026455765094426209e-02 7.806569365226434520e-01 2.629568397129767310e-01 1.043613776235620128e+00 -3.973760864416790023e-02 1.003876167591452262e+00
7.264232855708722958e-02 7.811830357444871087e-01 2.656103367054097886e-01 1.046793372449896786e+00 -4.265951475328795539e-02 1.004133857696608789e+00
7.503848095743853586e-02 7.817689121216482295e-01 2.683577997874772580e-01 1.050126711909125321e+00 -4.572455307833704630e-02 1.004402158830788316e+00
7.785697696737876872e-02 7.825289244782196452e-01 2.716875843740137464e-01 1.054216508852233503e+00 -4.948756811461878236e-02 1.004728940737614762e+00
8.029234129529271013e-02 7.832468487131227786e-01 2.746532859441243035e-01 1.057900134657247193e+00 -5.287897839153854473e-02 1.005021156265708537e+00
8.274555896910194830e-02 7.840270755565215133e-01 2.777267391474785851e-01 1.061753814704000209e+00 -5.642895687083544082e-02 1.005324857833164831e+00
8.521649869958172752e-02 7.848706705558705643e-01 2.809124825576303497e-01 1.065783153113500914e+00 -6.014280397613470941e-02 1.005640349137366218e+00
8.770504362333515769e-02 7.857787740316536373e-01 2.842152170048256599e-01 1.069993991036479297e+00 -6.402604626096550233e-02 1.005967944775513878e+00
9.021109452266563855e-02 7.867526274737990377e-01 2.876397984886639447e-01 1.074392425962462871e+00 -6.808445768898330197e-02 1.006307968273479680e+00
